id,lemma,pronunciation,transliteration,definition,derivation,strongsNumber,englishWord
2027,הֶרֶג,heh'-reg,hereg,slaughter,from H2026 (הָרַג);,H2027,"be slain, slaughter."
2028,הֲרֵגָה,har-ay-gaw',hărêgâh,slaughter,feminine of H2027 (הֶרֶג);,H2028,slaughter.
2029,הָרָה,haw-raw',hârâh,"to be (or become) pregnant, conceive (literally or figuratively)",a primitive root;,H2029,"been, be with child, conceive, progenitor."
2030,הָרֶה,haw-reh',hâreh,pregnant,"or הָרִי; (Hosea 14:1), from H2029 (הָרָה);",H2030,"(be, woman) with child, conceive, [idiom] great."
2031,הַרְהֹר,har-hor',harhôr,a mental conception,(Aramaic) from a root corresponding to H2029 (הָרָה);,H2031,thought.
2032,הֵרוֹן,hay-rone',hêrôwn,pregnancy,or הֵרָיוֹן; from H2029 (הָרָה);,H2032,conception.
2033,הֲרוֹרִי,har-o-ree',Hărôwrîy,a Harorite or mountaineer,another form for H2043 (הֲרָרִי);,H2033,Harorite.
2034,הֲרִיסָה,har-ee-saw',hărîyçâh,something demolished,from H2040 (הָרַס);,H2034,ruin.
2035,הֲרִיסוּת,har-ee-sooth',hărîyçûwth,demolition,from H2040 (הָרַס);,H2035,destruction.
2036,הֹרָם,ho-rawm',Hôrâm,"Horam, a Canaanitish king",from an unused root (meaning to tower up); high;,H2036,Horam.
2037,הָרֻם,haw-room',Hârum,"Harum, an Israelite",passive participle of the same as H2036 (הֹרָם); high;,H2037,Harum.
2038,הַרְמוֹן,har-mone',harmôwn,a castle (from its height),from the same as H2036 (הֹרָם);,H2038,palace.
2039,הָרָן,haw-rawn',Hârân,"Haran, the name of two men",perhaps from H2022 (הַר); mountaineer;,H2039,Haran.
2040,הָרַס,haw-ras',hâraç,"to pull down or in pieces, break, destroy",a primitive root;,H2040,"beat down, break (down, through), destroy, overthrow, pluck down, pull down, ruin, throw down, [idiom] utterly."
2041,הֶרֶס,heh'-res,hereç,demolition,from H2040 (הָרַס);,H2041,destruction.
2042,הָרָר,haw-rawr',hârâr,a mountain,from an unused root meaning to loom up;,H2042,"hill, mount(-ain)."
2043,הֲרָרִי,hah-raw-ree',Hărârîy,{Hararite},"or הָרָרִי; (2 Samuel 23:11), or הָארָרִי; (2 Samuel 23:34, last clause [), apparently from H2042 (הָרָר); a mountaineer",H2043,Hararite.
2044,הָשֵׁם,haw-shame',Hâshêm,"Hashem, an Israelite",perhaps from the same as H2828 (חָשֻׁם); wealthy;,H2044,Hashem.
2045,הַשְׁמָעוּת,hashmaw-ooth',hashmâʻûwth,announcement,from H8085 (שָׁמַע);,H2045,to cause to hear.
2046,הִתּוּךְ,hit-took',hittûwk,a melting,from H5413 (נָתַךְ);,H2046,is melted.
2047,הֲתָךְ,hath-awk',Hăthâk,"Hathak, a Persian eunuch",probably of foreign origin;,H2047,Hatach.
2048,הָתַל,haw-thal',hâthal,"to deride; by implication, to cheat",a primitive root;,H2048,"deal deceitfully, deceive, mock."
2049,הָתֹל,haw-thole',hâthôl,a derision,from H2048 (הָתַל) (only in plural collectively);,H2049,mocker.
2050,הָתַת,haw-thath',hâthath,"properly, to break in upon, i.e. to assail",a primitive root;,H2050,imagine mischief. w
2051,וְדָן,ved-awn',Vᵉdân,"Vedan (or Aden), a place in Arabia",perhaps for H5730 (עֵדֶן);,H2051,Dan also.
2052,וָהֵב,vaw-habe',Vâhêb,"Vaheb, a place in Moab",of uncertain derivation;,H2052,what he did.
2053,וָו,vaw,vâv,a hook (the name of the sixth Hebrew letter),probably,H2053,hook.
2054,וָזָר,vaw-zawr',vâzâr,crime,presumed to be from an unused root meaning to bear guilt;,H2054,[idiom] strange.
2055,וַיְזָתָא,vah-yez-aw'-thaw,Vayzâthâʼ,"Vajezatha, a son of Haman",of foreign origin;,H2055,Vajezatha.
2056,וָלָד,vaw-lawd',vâlâd,a boy,for H3206 (יֶלֶד);,H2056,child.
2057,וַנְיָה,van-yaw',Vanyâh,"Vanjah, an Israelite",perhaps for H6043 (עֲנָיָה);,H2057,Vaniah.
2058,וׇפְסִי,vof-see',Vophçîy,"Vophsi, an Israelite",probably from H3254 (יָסַף); additional;,H2058,Vophsi.
2059,וַשְׁנִי,vash-nee',Vashnîy,"Vashni, an Israelite",probably from H3461 (יִשְׁמְרַי); weak;,H2059,Vashni.
2060,וַשְׁתִּי,vash-tee',Vashtîy,"Vashti, the queen of Xerxes",of Persian origin;,H2060,Vashti. z
2061,זְאֵב,zeh-abe',zᵉʼêb,a wolf,from an unused root meaning to be yellow;,H2061,wolf.
2062,זְאֵב,zeh-abe',Zᵉʼêb,"Zeeb, a Midianitish prince",the same as H2061 (זְאֵב);,H2062,Zeeb.
2063,זֹאת,zothe',zôʼth,this (often used adverb),irregular feminine of H2089 (זֶה);,H2063,"hereby (-in, -with), it, likewise, the one (other, same), she, so (much), such (deed), that, therefore, these, this (thing), thus."
2064,זָבַד,zaw-bad',zâbad,to confer,a primitive root;,H2064,endure.
2065,זֶבֶד,zeh'-bed,zebed,a gift,from H2064 (זָבַד);,H2065,dowry.
2066,זָבָד,zaw-bawd',Zâbâd,"Zabad, the name of seven Israelites",from H2064 (זָבַד); giver;,H2066,Zabad.
2067,זַבְדִּי,zab-dee',Zabdîy,"Zabdi, the name of four Israelites",from H2065 (זֶבֶד); giving;,H2067,Zabdi.
2068,זַבְדִּיאֵל,zab-dee-ale',Zabdîyʼêl,"gift of God; zabdiel, the name of two Israelites",from H2065 (זֶבֶד) and H410 (אֵל);,H2068,Zabdiel.
2069,זְבַדְיָה,zeb-ad-yaw',Zᵉbadyâh,"Zebadjah, the name of nine Israelites",or זְבַדְיָהוּ; from H2064 (זָבַד) and H3050 (יָהּ); Jah has given;,H2069,Zebadiah.
2070,זְבוּב,zeb-oob',zᵉbûwb,a fly (especially one of a stinging nature),from an unused root (meaning to flit);,H2070,fly.
2071,זָבוּד,zaw-bood',Zâbûwd,"given, Zabud, an Israelite",from H2064 (זָבַד);,H2071,Zabud.
2072,זַבּוּד,zab-bood',Zabbûwd,"Zabbud, an Israelite",a form of H2071 (זָבוּד); given;,H2072,Zabbud.
2073,זְבוּל,ze-bool',zᵉbûwl,a residence,or זְבֻל; from H2082 (זָבַל);,H2073,"dwell in, dwelling, habitation."
2074,זְבוּלוּן,zeb-oo-loon',Zᵉbûwlûwn,"Zebulon, a son of Jacob; also his territory and tribe",or זְבֻלוּן; or זְבוּלֻן; from H2082 (זָבַל); habitation;,H2074,Zebulun.
2075,זְבוּלֹנִי,zeb-oo-lo-nee',Zᵉbûwlônîy,a Zebulonite or descendant of Zebulun,patronymically from H2074 (זְבוּלוּן);,H2075,Zebulonite.
2076,זָבַח,zaw-bakh',zâbach,to slaughter an animal (usually in sacrifice),a primitive root;,H2076,"kill, offer, (do) sacrifice, slay."
2077,זֶבַח,zeh'-bakh,zebach,"properly, a slaughter, i.e. the flesh of an animal; by implication, a sacrifice (the victim or the act)",from H2076 (זָבַח);,H2077,"offer(-ing), sacrifice."
2078,זֶבַח,zeh'-bakh,Zebach,"Zebach, a Midianitish prince",the same as H2077 (זֶבַח); sacrifice;,H2078,Zebah.
2079,זַבַּי,zab-bah'-ee,Zabbay,"Zabbai (or Zaccai), an Israelite",probably by orthographical error for H2140 (זַכַּי);,H2079,Zabbai.
2080,זְבִידָה,zeb-ee-daw',Zᵉbîydâh,"Zebidah, an Israelitess",feminine from H2064 (זָבַד); giving;,H2080,Zebudah.
2081,זְבִינָא,zeb-ee-naw',Zᵉbîynâʼ,"Zebina, an Israelite",from an unused root (meaning to purchase); gainfulness;,H2081,Zebina.
2082,זָבַל,zaw-bal',zâbal,to reside,"a primitive root; apparently properly, to inclose, i.e.",H2082,dwell with.
2083,זְבֻל,zeb-ool',Zᵉbul,"Zebul, an Israelite",the same as H2073 (זְבוּל); dwelling;,H2083,Zebul. Compare H2073 (זְבוּל).
2084,זְבַן,zeb-an',zᵉban,to acquire by purchase,(Aramaic) corresponding to the root of H2081 (זְבִינָא);,H2084,gain.
2085,זָג,zawg,zâg,the skin of a grape,from an unused root probably meaning to inclose;,H2085,husk.
2086,זֵד,zade',zêd,arrogant,from H2102 (זוּד);,H2086,"presumptuous, proud."
2087,זָדוֹן,zaw-done',zâdôwn,arrogance,from H2102 (זוּד);,H2087,"presumptuously, pride, proud (man)."
2088,זֶה,zeh,zeh,"the masculine demonstrative pronoun, this or that",a primitive word;,H2088,"he, [idiom] hence, [idiom] here, it(-self), [idiom] now, [idiom] of him, the one...the other, [idiom] than the other, ([idiom] out of) the (self) same, such (a one) that, these, this (hath, man), on this side...on that side, [idiom] thus, very, which. Compare H2063 (זֹאת), H2090 (זֹה), H2097 (זוֹ), H2098 (זוּ)."
2089,זֶה,zeh,zeh,a sheep,(1 Samuel by permutation for H7716 (שֶׂה);,H2089,lamb.
2090,זֹה,zo,zôh,this or that,for H2088 (זֶה);,H2090,"as well as another, it, this, that, thus and thus."
2091,זָהָב,zaw-hawb',zâhâb,"gold, figuratively, something gold-colored (i.e. yellow), as oil, a clear sky",from an unused root meaning to shimmer;,H2091,"gold(-en), fair weather."
2092,זָהַם,zaw-ham',zâham,"to be rancid, i.e. (transitively) to loathe",a primitive root;,H2092,abhor.
2093,זַהַם,zah'-ham,Zaham,"Zaham, an Israelite",from H2092 (זָהַם); loathing;,H2093,Zaham.
2094,זָהַר,zaw-har',zâhar,"to gleam; figuratively, to enlighten (by caution)",a primitive root;,H2094,"admonish, shine, teach, (give) warn(-ing)."
2095,זְהַר,zeh-har',zᵉhar,(passively) be admonished,(Aramaic) corresponding to H2094 (זָהַר);,H2095,take heed.
2096,זֹהַר,zo'-har,zôhar,brilliancy,from H2094 (זָהַר);,H2096,brightness.
2097,זוֹ,zo,zôw,this or that,for H2088 (זֶה);,H2097,"that, this."
2098,זוּ,zoo,zûw,this or that,for H2088 (זֶה);,H2098,"that, this, [idiom] wherein, which, whom."
2099,זִו,zeev',Ziv,Ziv (corresponding to Ijar or May),"probably from an unused root meaning to be prominent; properly, brightness (compare H2122 (זִיו)), i.e. (figuratively) the month of flowers;",H2099,Zif.
2100,זוּב,zoob,zûwb,"to flow freely (as water), i.e. (specifically) to have a (sexual) flux; figuratively, to waste away; also to overflow",a primitive root;,H2100,"flow, gush out, have a (running) issue, pine away, run."
2101,זוֹב,zobe,zôwb,a seminal or menstrual flux,from H2100 (זוּב);,H2101,issue.
2102,זוּד,zood,zûwd,"to seethe; figuratively, to be insolent",or (by permutation) זִיד; a primitive root;,H2102,"be proud, deal proudly, presume, (come) presumptuously, sod."
2103,זוּד,zood,zûwd,to be proud,(Aramaic) corresponding to H2102 (זוּד);,H2103,in pride.
2104,זוּזִים,zoo-zeem',Zûwzîym,"Zuzites, an aboriginal tribe of Palestine",plural probably from the same as H2123 (זִיז); prominent;,H2104,Zuzims.
2105,זוֹחֵת,zo-khayth',Zôwchêth,"Zocheth, an Israelite",of uncertain origin;,H2105,Zoheth.
2106,זָוִית,zaw-veeth',zâvîyth,"an angle (as projecting), i.e. (by implication) a corner-column (or anta)",apparently from the same root as H2099 (זִו) (in the sense of prominence);,H2106,corner(stone).
2107,זוּל,zool,zûwl,"probably to shake out, i.e. (by implication) to scatter profusely; figuratively, to treat lightly",a primitive root (compare H2151 (זָלַל));,H2107,"lavish, despise."
2108,זוּלָה,zoo-law',zûwlâh,"probably scattering, i.e. removal; used adverbially, except",from H2107 (זוּל);,H2108,"beside, but, only, save."
2109,זוּן,zoon,zûwn,"perhaps properly, to be plump, i.e. (transitively) to nourish",a primitive root;,H2109,feed.
2110,זוּן,zoon,zûwn,"{perhaps properly, to be plump, i.e. (transitively) to nourish}",(Aramaic) corresponding to H2109 (זוּן),H2110,feed.
2111,זוּעַ,zoo'-ah,zûwaʻ,"properly, to shake off, i.e. (figuratively) to agitate (as with fear)",a primitive root;,H2111,"move, tremble, vex."
2112,זוּעַ,zoo'-ah,zûwaʻ,to shake (with fear),(Aramaic) corresponding to H2111 (זוּעַ);,H2112,tremble.
2113,זְוָעָה,zev-aw-aw',zᵉvâʻâh,"agitation, fear",from H2111 (זוּעַ);,H2113,"be removed, trouble, vexation. Compare H2189 (זַעֲוָה)."
2114,זוּר,zoor,zûwr,"to turn aside (especially for lodging); hence to be aforeigner, strange, profane; specifically (active participle) to commit adultery",a primitive root;,H2114,"(come from) another (man, place), fanner, go away, (e-) strange(-r, thing, woman)."
2115,זוּר,zoor,zûwr,"to press together, tighten",a primitive root (compare H6695 (צוֹק));,H2115,"close, rush, thrust together."
2116,זוּרֶה,zoo-reh',zûwreh,trodden on,from H2115 (זוּר);,H2116,that which is crushed.
2117,זָזָא,zaw-zaw',zâzâʼ,"Zaza, an Israelite",probably from the root of H2123 (זִיז); prominent;,H2117,Zaza.
2118,זָחַח,zaw-khakh',zâchach,to shove or displace,a primitive root;,H2118,loose.
2119,זָחַל,zaw-khal',zâchal,"to crawl; by implication, to fear",a primitive root;,H2119,"be afraid, serpent, worm."
2120,זֹחֶלֶת,zo-kheh'-leth,Zôcheleth,"Zocheleth, a boundary stone in. Palestine",feminine active participle of H2119 (זָחַל); crawling (i.e. serpent);,H2120,Zoheleth.
2121,זֵידוֹן,zay-dohn',zêydôwn,"boiling of water, i.e. wave",from H2102 (זוּד);,H2121,proud.
2122,זִיו,zeev,zîyv,(figuratively) cheerfulness,(Aramaic) corresponding to H2099 (זִו);,H2122,"brightness, countenance."
2123,זִיז,zeez,zîyz,fulness of the breast; also a moving creature,from an unused root apparently meaning to be conspicuous;,H2123,"abundance, wild beast."
2124,זִיזָא,zee-zaw',Zîyzâʼ,"Ziza, the name of two Israelites",apparently from the same as H2123 (זִיז); prominence;,H2124,Ziza.
2125,זִיזָה,zee-zaw',Zîyzâh,"Zizah, an Israelite",another form for H2124 (זִיזָא);,H2125,Zizah.
2126,זִינָא,zee-naw',Zîynâʼ,"Zina, an Israelite",from H2109 (זוּן); well-fed; or perhaps an orthographical error for H2124 (זִיזָא);,H2126,Zina.
2127,זִיעַ,zee'-ah,Zîyaʻ,"Zia, an Israelite",from H2111 (זוּעַ); agitation;,H2127,Zia.
2128,זִיף,zeef,Zîyph,"Ziph, the name of a place in Palestine; also of an Israelite",from the same as H2203 (זֶפֶת); flowing;,H2128,Ziph.
2129,זִיפָה,zee-faw',Zîyphâh,"Ziphah, an Israelite",feminine of H2128 (זִיף); a flowing;,H2129,Ziphah.
2130,זִיפִי,zee-fee',Zîyphîy,a Ziphite or inhabitant of Ziph,patrial from H2128 (זִיף);,H2130,"Ziphim, Ziphite."
2131,זִיקָה,zee-kaw',zîyqâh,"properly, what leaps forth, i.e. flash of fire, or a burning arrow; also (from the original sense of the root) a bond",(Isaiah 50: (feminine); and זִק; or זֵק; from H2187 (זָנַק);,H2131,"chain, fetter, firebrand, spark."
2132,זַיִת,zay'-yith,zayith,"an olive (as yielding illuminating oil), the tree, the branch or the berry",probably from an unused root (akin to H2099 (זִו));,H2132,"olive (tree, -yard), Olivet."
2133,זֵיתָן,zay-thawn',Zêythân,"Zethan, an Israelite",from H2132 (זַיִת); olive grove;,H2133,Zethan.
2134,זַךְ,zak,zak,clear,from H2141 (זָכַךְ);,H2134,"clean, pure."
2135,זָכָה,zaw-kaw',zâkâh,"to be translucent; figuratively, to be innocent",a primitive root (compare H2141 (זָכַךְ));,H2135,"be (make) clean, cleanse, be clear, count pure."
2136,זָכוּ,zaw-koo',zâkûw,purity,(Aramaic) from a root corresponding to H2135 (זָכָה);,H2136,innocency.
2137,זְכוּכִית,zek-oo-keeth,zᵉkûwkîyth,"properly, transparency, i.e. glass",from H2135 (זָכָה);,H2137,crystal.
2138,זָכוּר,zaw-koor',zâkûwr,a male (of man or animals),"properly, passive participle of H2142 (זָכַר), but used for H2145 (זָכָר);",H2138,"males, men-children."
2139,זַכּוּר,zaw-koor',Zakkûwr,"Zakkur, the name of seven Israelites",from H2142 (זָכַר); mindful;,H2139,"Zaccur, Zacchur."
2140,זַכַּי,zak-kah'-ee,Zakkay,"Zakkai, an Israelite",from H2141 (זָכַךְ); pure;,H2140,Zaccai.
2141,זָכַךְ,zaw-kak',zâkak,to be transparent or clean (phys. or morally),a primitive root (compare H2135 (זָכָה));,H2141,"be (make) clean, be pure(-r)."
2142,זָכַר,zaw-kar',zâkar,"properly, to mark (so as to be recognized), i.e. to remember; by implication, to mention;  to be male",a primitive root; also as denominative from H2145 (זָכָר),H2142,"[idiom] burn (incense), [idiom] earnestly, be male, (make) mention (of), be mindful, recount, record(-er), remember, make to be remembered, bring (call, come, keep, put) to (in) remembrance, [idiom] still, think on, [idiom] well."
2143,זֵכֶר,zay'-ker,zêker,"a memento, abstractly recollection (rarely if ever); by implication, commemoration",or זֶכֶר; from H2142 (זָכַר);,H2143,"memorial, memory, remembrance, scent."
2144,זֶכֶר,zeh'-ker,Zeker,"Zeker, an Israelite",the same as H2143 (זֵכֶר);,H2144,Zeker.
2145,זָכָר,zaw-kawr',zâkâr,"properly, remembered, i.e. a male (of man or animals, as being the most noteworthy sex)",from H2142 (זָכַר);,H2145,"[idiom] him, male, man(child, -kind)."
2146,זִכְרוֹן,zik-rone',zikrôwn,"a memento (or memorable thing, day or writing)",from H2142 (זָכַר);,H2146,"memorial, record."
2147,זִכְרִי,zik-ree',Zikrîy,"Zicri, the name of twelve Israelites",from H2142 (זָכַר); memorable;,H2147,Zichri.
2148,זְכַרְיָה,zek-ar-yaw',Zᵉkaryâh,"Zecarjah, the name of twenty-nine Israelites",or זְכַרְיָהוּ; from H2142 (זָכַר) and H3050 (יָהּ); Jah has remembered;,H2148,"Zachariah, Zechariah."
2149,זֻלּוּת,zool-looth',zullûwth,"properly, a shaking, i.e. perhaps a tempest",from H2151 (זָלַל);,H2149,vilest.
2150,זַלְזַל,zal-zal',zalzal,"tremulous, i.e. a twig",by reduplication from H2151 (זָלַל);,H2150,sprig.
2151,זָלַל,zaw-lal',zâlal,"to shake (as in the wind), i.e. to quake; figuratively, to be loose morally, worthless or prodigal",a primitive root (compare H2107 (זוּל));,H2151,"blow down, glutton, riotous (eater), vile."
