id,pronunciation,lemma,transliteration,definition,strongsNumber,englishWord
1360,dee-ot'-ee,διότι,dióti,"[διότι] from {{g1223}} and {{g3754}}; on the very account that, or inasmuch as",g1360,"because 10, for 8, because that 3, therefore 1"
1361,dee-ot-ref-ace',Διοτρεφής,Diotrephḗs,"[Διοτρεφής] from the alternate of {{g2203}} and {{g5142}}; Jove-nourished; Diotrephes, an opponent of Christianity",g1361,Diotrephes 1
1362,dip-looce',διπλοῦς,diploûs,[διπλοῦς] from {{g1364}} and (probably) the base of {{g4119}}; two-fold,g1362,"double 3, twofold more 1"
1363,dip-lo'-o,διπλόω,diplóō,[διπλόω] from {{g1362}}; to render two-fold,g1363,double 1
1364,dece,δίς,dís,[δίς] adverb from {{g1417}}; twice,g1364,"twice 4, again 2"
1365,dis-tad'-zo,διστάζω,distázō,"[διστάζω] from {{g1364}}; properly, to duplicate, i.e. (mentally) to waver (in opinion)",g1365,doubt 2
1366,dis'-tom-os,δίστομος,dístomos,[δίστομος] from {{g1364}} and {{g4750}}; double-edged,g1366,"twoedged 2, with two edges 1"
1367,dis-khil'-ee-oy,δισχίλιοι,dischílioi,[δισχίλιοι] from {{g1364}} and {{g5507}}; two thousand,g1367,two thousand 1
1368,dee-oo-lid'-zo,διϋλίζω,diÿlízō,[διϋλίζω] from {{g1223}} and ὑλίζω (to filter); to strain out,g1368,strain at 1
1369,dee-khad'-zo,διχάζω,dicházō,"[διχάζω] from a derivative of {{g1364}}; to make apart, i.e. sunder (figuratively, alienate)",g1369,to set at variance 1
1370,dee-khos-tas-ee'-ah,διχοστασία,dichostasía,"[διχοστασία] from a derivative of {{g1364}} and {{g4714}}; disunion, i.e. (figuratively) dissension",g1370,"division 2, sedition 1"
1371,dee-khot-om-eh'-o,διχοτομέω,dichotoméō,"[διχοτομέω] from a compound of a derivative of {{g1364}} and a derivative of τέμνω (to cut); to bisect, i.e. (by extension) to flog severely",g1371,"cut sunder 1, cut in asunder 1"
1372,dip-sah'-o,διψάω,dipsáō,[διψάω] from a variation of {{g1373}}; to thirst for (literally or figuratively),g1372,"thirst 10, be thirsty 3, be athirst 3"
1373,dip'-sos,δίψος,dípsos,[δίψος] of uncertain affinity; thirst,g1373,thirst 1
1374,dip'-soo-khos,δίψυχος,dípsychos,"[δίψυχος] from {{g1364}} and {{g5590}}; two-spirited, i.e. vacillating (in opinion or purpose)",g1374,double minded 2
1375,dee-ogue-mos',διωγμός,diōgmós,[διωγμός] from {{g1377}}; persecution,g1375,persecution 10
1376,dee-oke'-tace,διώκτης,diṓktēs,[διώκτης] from {{g1377}}; a persecutor,g1376,persecutor 1
1377,dee-o'-ko,διώκω,diṓkō,"[διώκω] a prolonged (and causative) form of a primary verb δίω (to flee; compare the base of {{g1169}} and {{g1249}}); to pursue (literally or figuratively); by implication, to persecute",g1377,"persecute 28, follow after 6, follow 4, suffer persecution 3, misc 3"
1378,dog'-mah,δόγμα,dógma,"[δόγμα] from the base of {{g1380}}; a law (civil, ceremonial or ecclesiastical)",g1378,"decree 3, ordinance 2"
1379,dog-mat-id'-zo,δογματίζω,dogmatízō,"[δογματίζω] from {{g1378}}; to prescribe by statute, i.e. (reflexively) to submit to, ceremonially rule",g1379,be subject to ordinances 1
1380,dok-eh'-o,δοκέω,dokéō,"[δοκέω] a prolonged form of a primary verb, δόκω (used only in an alternate in certain tenses; compare the base of {{g1166}}) of the same meaning; to think; by implication, to seem (truthfully or uncertainly)",g1380,"think 33, seem 13, suppose 7, seem good 3, please 2, misc 5"
1381,dok-im-ad'-zo,δοκιμάζω,dokimázō,"[δοκιμάζω] from {{g1384}}; to test (literally or figuratively); by implication, to approve",g1381,"prove 10, try 4, approve 3, discern 2, allow 2, like 1, examine 1"
1382,dok-ee-may',δοκιμή,dokimḗ,"[δοκιμή] from the same as {{g1384}}; test (abstractly or concretely); by implication, trustiness",g1382,"proof 3, experience 2, trial 1, experiment 1"
1383,dok-im'-ee-on,δοκίμιον,dokímion,"[δοκίμιον] neuter of a presumed derivative of {{g1382}}; a testing; by implication, trustworthiness",g1383,"trying 1, trial 1"
1384,dok'-ee-mos,δόκιμος,dókimos,"[δόκιμος] from {{g1380}}; properly, acceptable (current after assayal), i.e. approved",g1384,"approved 6, tried 1"
1385,dok-os',δοκός,dokós,[δοκός] from {{g1209}} (through the idea of holding up); a stick of timber,g1385,beam 6
1386,dol'-ee-os,δόλιος,dólios,[δόλιος] from {{g1388}}; guileful,g1386,deceitful 1
1387,dol-ee-o'-o,δολιόω,dolióō,[δολιόω] from {{g1386}}; to be guileful,g1387,use deceit 1
1388,dol'-os,δόλος,dólos,"[δόλος] from an obsolete primary verb, δέλλω (probably meaning to decoy; compare {{g1185}}); a trick (bait), i.e. (figuratively) wile",g1388,"guile 7, subtilty 2, deceit 2, craft 1"
1389,dol-o'-o,δολόω,dolóō,"[δολόω] from {{g1388}}; to ensnare, i.e. (figuratively) adulterate",g1389,handle ... deceitfully 1
1390,dom'-ah,δόμα,dóma,[δόμα] from the base of {{g1325}}; a present,g1390,gift 4
1391,dox'-ah,δόξα,dóxa,"[δόξα] from the base of {{g1380}}; glory (as very apparent), in a wide application (literal or figurative, objective or subjective)",g1391,"glory 145, glorious 10, honour 6, praise 4, dignity 2, worship 1"
1392,dox-ad'-zo,δοξάζω,doxázō,[δοξάζω] from {{g1391}}; to render (or esteem) glorious (in a wide application),g1392,"glorify 54, honour 3, have glory 2, magnify 1, make glorious 1, full of glory 1"
1393,dor-kas',Δορκάς,Dorkás,"[Δορκάς] gazelle; Dorcas, a Christian woman",g1393,Dorcas 2
1394,dos'-is,δόσις,dósis,"[δόσις] from the base of {{g1325}}; a giving; by implication, (concretely) a gift",g1394,"giving 1, gift 1"
1395,dot'-ace,δότης,dótēs,[δότης] from the base of {{g1325}}; a giver,g1395,giver 1
1396,doo-lag-ogue-eh'-o,δουλαγωγέω,doulagōgéō,"[δουλαγωγέω] from a presumed compound of {{g1401}} and {{g71}}; to be a slave-driver, i.e. to enslave (figuratively, subdue)",g1396,bring into subjection 1
1397,doo-li'-ah,δουλεία,douleía,[δουλεία] from {{g1398}}; slavery (ceremonially or figuratively),g1397,bondage 5
1398,dool-yoo'-o,δουλεύω,douleúō,"[δουλεύω] from {{g1401}}; to be a slave to (literal or figurative, involuntary or voluntary)",g1398,"serve 18, be in bondage 4, do service 3"
1399,doo'-lay,δούλη,doúlē,[δούλη] feminine of {{g1401}}; a female slave (involuntarily or voluntarily),g1399,"handmaiden 2, handmaid 1"
1400,doo'-lon,δοῦλον,doûlon,[δοῦλον] neuter of {{g1401}}; subservient,g1400,
1401,doo'-los,δοῦλος,doûlos,"[δοῦλος] from {{g1210}}; a slave (literal or figurative, involuntary or voluntary; frequently, therefore in a qualified sense of subjection or subserviency)",g1401,"servant 120, bond 6, bondman 1"
1402,doo-lo'-o,δουλόω,doulóō,[δουλόω] from {{g1401}}; to enslave (literally or figuratively),g1402,"become servant 2, bring into bondage 2, be under bondage 1, given 1, make servant 1, in bondage 1"
1403,dokh-ay',δοχή,dochḗ,"[δοχή] from {{g1209}}; a reception, i.e. convivial entertainment",g1403,feast 2
1404,drak'-own,δράκων,drákōn,[δράκων] probably from an alternate form of δέρκομαι (to look); a fabulous kind of serpent (perhaps as supposed to fascinate),g1404,dragon 13
1405,dras'-som-ahee,δράσσομαι,drássomai,"[δράσσομαι] perhaps akin to the base of {{g1404}} (through the idea of capturing); to grasp, i.e. (figuratively) entrap",g1405,take 1
1406,drakh-may',δραχμή,drachmḗ,[δραχμή] from {{g1405}}; a drachma or (silver) coin (as handled),g1406,"piece 2, piece of silver 1"
1407,drep'-an-on,δρέπανον,drépanon,[δρέπανον] from δρέπω (to pluck); a gathering hook (especially for harvesting),g1407,sickle 8
1408,drom'-os,δρόμος,drómos,"[δρόμος] from the alternate of {{g5143}}; a race, i.e. (figuratively) career",g1408,course 3
1409,droo'-sil-lah,Δρούσιλλα,Droúsilla,"[Δρούσιλλα] a feminine diminutive of Drusus (a Roman name); Drusilla, a member of the Herodian family",g1409,Drusilla 1
1410,doo'-nam-ahee,δύναμαι,dýnamai,[δύναμαι] of uncertain affinity; to be able or possible,g1410,"can (could) 100, cannot + \\3756\\ 45, be able 37, may (might) 18, able 3, misc 7"
1411,doo'-nam-is,δύναμις,dýnamis,"[δύναμις] from {{g1410}}; force (literally or figuratively); specially, miraculous power (usually by implication, a miracle itself)",g1411,"power 77, mighty work 11, strength 7, miracle 7, might 4, virtue 3, mighty 2, misc 9"
1412,doo-nam-o'-o,δυναμόω,dynamóō,[δυναμόω] from {{g1411}}; to enable,g1412,strengthen 1
1413,doo-nas'-tace,δυνάστης,dynástēs,[δυνάστης] from {{g1410}}; a ruler or officer,g1413,"mighty 1, of great authority 1, Potentate 1"
1414,doo-nat-eh'-o,δυνατέω,dynatéō,[δυνατέω] from {{g1415}}; to be efficient (figuratively),g1414,be mighty 1
1415,doo-nat-os',δυνατός,dynatós,[δυνατός] from {{g1410}}; powerful or capable (literally or figuratively); neuter possible,g1415,"possible 13, able 10, mighty 6, strong 3, could 1, power 1, mighty man 1"
1416,doo'-no,δύνω,dýnō,"""[δύνω]   or δῦμιprolonged forms of an obsolete primary      δύο (to sink); to go ""down"""",g1416,""set 2",NULL,
1417,doo'-o,δύο,dýo,"""[δύο] a primary numeral; ""two"""",g1417,""two 122, twain 10, both 2, two and two + \\303\\ 1",NULL,
1418,doos,δυσ-,dys-,"[δυσ-] a primary inseparable particle of uncertain derivation; used only in composition as a prefix; hard, i.e. with difficulty",g1418,"hard or difficult, always used as a word prefix"
1419,doos-bas'-tak-tos,δυσβάστακτος,dysbástaktos,[δυσβάστακτος] from {{g1418}} and a derivative of {{g941}}; oppressive,g1419,grievous to be borne 2
1420,doos-en-ter-ee'-ah,δυσεντερία,dysentería,"""[δυσεντερία] from {{g1418}} and a comparative of {{g1787}} (meaning a bowel); a ""dysentery"""",g1420,""bloody flux 1",NULL,
1421,doos-er-mane'-yoo-tos,δυσερμήνευτος,dysermḗneutos,[δυσερμήνευτος] from {{g1418}} and a presumed derivative of {{g2059}}; difficult of explanation,g1421,hard to be uttered 1
1422,doo'-kol-os,δύσκολος,dýskolos,"[δύσκολος] from {{g1418}} and κόλον (food); properly, fastidious about eating (peevish), i.e. (genitive case) impracticable",g1422,hard 1
1423,doos-kol'-oce,δυσκόλως,dyskólōs,[δυσκόλως] adverb from {{g1422}}; impracticably,g1423,hardly 3
1424,doos-may',δυσμή,dysmḗ,"[δυσμή] from {{g1416}}; the sun-set, i.e. (by implication) the western region",g1424,west 5
1425,doos-no'-ay-tos,δυσνόητος,dysnóētos,[δυσνόητος] from {{g1418}} and a derivative of {{g3539}}; difficult of perception,g1425,hard to be understood 1
1426,doos-fay-mee'-ah,δυσφημία,dysphēmía,[δυσφημία] from a compound of {{g1418}} and {{g5345}}; defamation,g1426,evil report 1
1427,do'-dek-ah,δώδεκα,dṓdeka,"[δώδεκα] from {{g1417}} and {{g1176}}; two and ten, i.e. a dozen",g1427,twelve 72
1428,do-dek'-at-os,δωδέκατος,dōdékatos,[δωδέκατος] from {{g1427}}; twelfth,g1428,twelfth 1
1429,do-dek-af'-oo-lon,δωδεκάφυλον,dōdekáphylon,[δωδεκάφυλον] from {{g1427}} and {{g5443}}; the commonwealth of Israel,g1429,twelve tribes 1
1430,do'-mah,δῶμα,dōma,"[δῶμα] from δέμω (to build); properly, an edifice, i.e. (specially) a roof",g1430,house top 7
1431,do-reh-ah',δωρεά,dōreá,[δωρεά] from {{g1435}}; a gratuity,g1431,gift 11
1432,do-reh-an',δωρεάν,dōreán,[δωρεάν] accusative case of {{g1431}} as adverb; gratuitously (literally or figuratively),g1432,"freely 6, without a cause 1, in vain 1, for nought 1"
1433,do-reh'-om-ahee,δωρέομαι,dōréomai,[δωρέομαι] middle voice from {{g1435}}; to bestow gratuitously,g1433,give 3
1434,do'-ray-mah,δώρημα,dṓrēma,[δώρημα] from {{g1433}}; a bestowment,g1434,gift 2
1435,do'-ron,δῶρον,dōron,"[δῶρον] a present; specially, a sacrifice",g1435,"gift 18, offering 1"
1436,eh'-ah,ἔα,éa,"[ἔα] apparent imperative of {{g1439}}; properly, let it be, i.e. (as interjection) aha!",g1436,alone 2
1437,eh-an',ἐάν,eán,"[ἐάν] from {{g1487}} and {{g302}}; a conditional particle; in case that, provided, etc.; often used in connection with other particles to denote indefiniteness or uncertainty See {{g3361}}.",g1437,"if 200, whosoever + \\3769\\ 14, whatsoever + \\3739\\ 16, though 14, misc 32"
1438,heh-ow-too',ἑαυτοῦ,heautoû,"[ἑαυτοῦ] from a reflexive pronoun otherwise obsolete and the genitive case (dative case or accusative case) of {{g846}}; him- (her-, it-, them-, also (in conjunction with the personal pronoun of the other persons) my-, thy-, our-, your-) self (selves), etc.",g1438,"himself 110, themselves 57, yourselves 36, ourselves 20, his 19, their 15, itself 9, misc 73"
1439,eh-ah'-o,ἐάω,eáō,"[ἐάω] of uncertain affinity; to let be, i.e. permit or leave alone See also {{g1436}}.",g1439,"suffer 9, let alone 1, leave 1, let 1, commit 1"
1440,heb-dom-ay'-kon-tah,ἑβδομήκοντα,hebdomḗkonta,[ἑβδομήκοντα] from {{g1442}} and a modified form of {{g1176}}; seventy,g1440,"seventy 2, three score and ten 1, three score and fifteen + \\4002\\ 1"
1441,heb-dom-ay-kon-tak-is,ἑβδομηκοντάκις,hebdomēkontákis,[ἑβδομηκοντάκις] multiple adverb from {{g1440}}; seventy times,g1441,seventy times 1
1442,heb'-dom-os,ἕβδομος,hébdomos,[ἕβδομος] ordinal from {{g2033}}; seventh,g1442,seventh 9
1443,eb-er',Ἐβέρ,Ebér,"[Ἐβέρ] of Hebrew origin ({{h5677}}); Eber, a patriarch",g1443,Heber 1
1444,heb-rah-ee-kos',Ἑβραϊκός,Hebraïkós,[Ἑβραϊκός] from {{g1443}}; Hebraic or the Jewish language,g1444,Hebrew 1
1445,heb-rah'-yos,Ἑβραῖος,Hebraîos,[Ἑβραῖος] from {{g1443}}; a Hebræan (i.e. Hebrew) or Jew,g1445,Hebrew 5
1446,heb-rah-is',Ἑβραΐς,Hebraḯs,[Ἑβραΐς] from {{g1443}}; the Hebraistic (Hebrew) or Jewish (Chaldee) language,g1446,Hebrew 3
1447,heb-rah-is-tee',Ἑβραϊστί,Hebraïstí,[Ἑβραϊστί] adverb from {{g1446}}; Hebraistically or in the Jewish (Chaldee) language,g1447,"in the Hebrew tongue 3, in the Hebrew 2, in Hebrew 1"
1448,eng-id'-zo,ἐγγίζω,engízō,"[ἐγγίζω] from {{g1451}}; to make near, i.e. (reflexively) approach",g1448,"draw nigh 12, be at hand 9, come nigh 8, come near 5, draw near 4, misc 5"
1449,eng-graf'-o,ἐγγράφω,engráphō,"""[ἐγγράφω] from {{g1722}} and {{g1125}}; to ""engrave"", i.e. inscribe"",g1449,""write 2",NULL,
1450,eng'-goo-os,ἔγγυος,éngyos,"[ἔγγυος] from {{g1722}} and γυῖον (a limb); pledged (as if articulated by a member), i.e. a bondsman",g1450,surety 1
1451,eng-goos',ἐγγύς,engýs,"[ἐγγύς] from a primary verb ἄγχω (to squeeze or throttle; akin to the base of {{g43}}); near (literally or figuratively, of place or time)",g1451,"nigh 13, at hand 6, nigh at hand 4, near 4, from 1, nigh unto 1, ready 1"
1452,eng-goo'-ter-on,ἐγγύτερον,engýteron,[ἐγγύτερον] neuter of the comparative of {{g1451}}; nearer,g1452,nearer 1
1453,eg-i'-ro,ἐγείρω,egeírō,"[ἐγείρω] probably akin to the base of {{g58}} (through the idea of collecting one's faculties); to waken (transitively or intransitively), i.e. rouse (literally, from sleep, from sitting or lying, from disease, from death; or figuratively, from obscurity, inactivity, ruins, nonexistence)",g1453,"rise 36, raise 28, arise 27, raise up 23, rise up 8, rise again 5, raise again 4, misc 10"
1454,eg'-er-sis,ἔγερσις,égersis,[ἔγερσις] from {{g1453}}; a resurgence (from death),g1454,resurrection 1
1455,eng-kath'-et-os,ἐγκάθετος,enkáthetos,"[ἐγκάθετος] from {{g1722}} and a derivative of {{g2524}}; subinduced, i.e. surreptitiously suborned as a lier-in-wait",g1455,spy 1
